📺央视频道,#genre#
CCTV-1,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8
CCTV-1,http://125.76.196.67:8899/rtp/239.112.205.59:5140
CCTV-1,http://115.58.216.93:4000/udp/225.1.4.1:1030
CCTV-1,http://125.76.196.152:8899/rtp/239.112.205.59:5140
CCTV-1,http://1.85.225.32:8686/rtp/239.112.205.59:5140
CCTV-2,http://125.76.196.67:8899/rtp/239.112.205.78:5140
CCTV-2,http://115.58.216.93:4000/udp/225.1.4.2:1031
CCTV-2,http://125.76.196.152:8899/rtp/239.112.205.78:5140
CCTV-2,http://1.85.225.32:8686/rtp/239.112.205.78:5140
CCTV-2,http://219.141.45.161:8188/rtp/238.255.2.11:5999
CCTV-3,http://125.76.196.67:8899/rtp/239.112.205.221:5140
CCTV-3,http://115.58.216.93:4000/udp/225.1.4.158:1194
CCTV-3,http://125.76.196.152:8899/rtp/239.112.205.221:5140
CCTV-3,http://1.85.225.32:8686/rtp/239.112.205.221:5140
CCTV-3,http://219.141.45.161:8188/rtp/238.255.2.133:5999
CCTV-4,http://125.76.196.67:8899/rtp/239.112.205.202:5140
CCTV-4,http://115.58.216.93:4000/udp/225.1.4.4:1033
CCTV-4,http://125.76.196.152:8899/rtp/239.112.205.202:5140
CCTV-4,http://1.85.225.32:8686/rtp/239.112.205.202:5140
CCTV-4,http://219.141.45.161:8188/rtp/238.255.2.92:5999
CCTV-5,http://125.76.196.67:8899/rtp/239.112.205.222:5140
CCTV-5,http://115.58.216.93:4000/udp/225.1.4.159:1195
CCTV-5,http://125.76.196.152:8899/rtp/239.112.205.222:5140
CCTV-5,http://1.85.225.32:8686/rtp/239.112.205.222:5140
CCTV-5,http://219.141.45.161:8188/rtp/238.255.2.134:5999
CCTV-5+,http://125.76.196.67:8899/rtp/239.111.205.13:5140
CCTV-5+,http://115.58.216.93:4000/udp/225.1.4.75:1104
CCTV-5+,http://125.76.196.152:8899/rtp/239.111.205.13:5140
CCTV-5+,http://1.85.225.32:8686/rtp/239.111.205.13:5140
CCTV-5+,http://219.141.45.161:8188/rtp/238.255.2.185:5999
CCTV-6,http://125.76.196.67:8899/rtp/239.112.205.223:5140
CCTV-6,http://115.58.216.93:4000/udp/225.1.4.160:1196
CCTV-6,http://125.76.196.152:8899/rtp/239.112.205.223:5140
CCTV-6,http://1.85.225.32:8686/rtp/239.112.205.223:5140
CCTV-6,http://219.141.45.161:8188/rtp/238.255.2.135:5999
CCTV-7,https://www.freetv.top/migu/673168121.m3u8?migutoken=3253222269368c440aa1d23dba86c186a7b73abdea3890faf72e3d720844f8f1d3adc2b18ed047dbb3eff1a6c5d9379fad37d1f8a380d0e7c69e9ad6eb41709cf92077125fc0bded4cfd47808b
CCTV-7,https://www.freetv.top/migu/673168121.m3u8?migutoken=a878b713604abd82c57cce75de174e0284d3f101e21d0c3e362670e4b5a5e75d9b42846e5e0adf92c1ad15c63d60934f3e68c25f787bc0665d12acde75a6db4761278e79b762292ed5b5a2fae3
CCTV-7,http://125.76.196.67:8899/rtp/239.112.205.83:5140
CCTV-7,http://115.58.216.93:4000/udp/225.1.4.7:1036
CCTV-7,http://125.76.196.152:8899/rtp/239.112.205.83:5140
CCTV-8,http://125.76.196.67:8899/rtp/239.112.205.224:5140
CCTV-8,http://115.58.216.93:4000/udp/225.1.4.161:1197
CCTV-8,http://125.76.196.152:8899/rtp/239.112.205.224:5140
CCTV-8,http://1.85.225.32:8686/rtp/239.112.205.224:5140
CCTV-8,http://219.141.45.161:8188/rtp/238.255.2.136:5999
CCTV-9,http://125.76.196.67:8899/rtp/239.112.205.85:5140
